Actor name,Actor date of birth,Actor gender,Actor height,Actor ethnicity,Actor age at movie release,Actor Score Index,Gender,University,Theater,Sports,Birth City,Date of Birth,Citizenship,Number of Children,Career Start,found_match
Kay Lenz,1953-03-04,F,1.54,,34.0,3.447517639661252,Female,Did not go,,Dance,Los Angeles California US,1953-03-04,,,1964.0,False
Kiefer Sutherland,1966-12-21,M,1.75,Scottish Canadians,19.0,3.4415121085753806,Male,Did not go,,,London England,1966-12-21,CanadaUnited Kingdom1,,1983.0,False
Ben Savage,1980-09-13,M,1.78,Jewish people,13.0,3.441485681970658,Male,Did not go,,,Chicago Illinois US,1980-09-13,,,1988.0,False
John Haymes Newton,1965-12-29,M,1.82,,25.0,3.4397196397154657,Male,Did not go,,,Chapel Hill North Carolina US,1965-12-29,,,1988.0,False
E.g. Daily,1961-09-11,F,1.55,,21.0,3.436523460178299,,Did not go,,,,,,,,False
Ellen Dow,1918-11-16,F,1.49,,73.0,3.435680794276802,Female,Cornell University,,Dance,Mount Carmel Pennsylvania US,1913-11-16,,,1985.0,True
Glenn Shadix,1952-04-15,M,1.778,,35.0,3.4348679457329867,Male,Did not go,,,Bessemer Alabama US,1952-04-15,,,1979.0,False
Tony Sirico,1942-07-29,M,1.8,,50.0,3.432647396722815,Male,Did not go,,,New York City US,1942-07-24,,2.0,1974.0,False
Ken Hudson Campbell,1963-04-06,M,1.93,,29.0,3.432371236412864,Male,Did not go,Yes,,Elmhurst Illinois US,1962-06-05,,,,False
Ben Whishaw,1980-10-14,M,1.75,English people,25.0,3.430655176496673,Male,Specialised Drama School,Yes,,Clifton Bedfordshire England,1980-10-14,,,1999.0,False
Ron Leibman,1937-10-11,M,1.82,,46.0,3.4299377003202105,Male,Wesleyan University,Yes,,New York City US,1937-10-11,,,1963.0,True
Emma Samms,1960-08-28,F,1.613,Jewish people,30.0,3.427026865023477,Female,Did not go,Yes,Dance,London England,1960-08-28,,2.0,1979.0,False
Laurel Holloman,1971-05-23,F,1.67,,23.0,3.4267681300384147,Female,University of North Carolina at Charlotte,Yes,,,,,2.0,1994.0,True
Courtney Love,1964-07-09,F,1.77,Jewish people,24.0,3.424747198093644,Female,Did not go,,,San Francisco California US,1964-07-09,,,1981.0,False
Shane Harper,1993-02-14,M,1.87,,17.0,3.424126405793836,Male,Did not go,Yes,Martial arts,San Diego California US,1993-02-14,,,2006.0,False
Aries Spears,1975-04-03,M,1.78,African Americans,21.0,3.4228376588840046,Male,Did not go,,,Chicago Illinois,1975-04-03,,3.0,1989.0,False
Lou Reed,1942-03-02,M,1.65,Jewish people,53.0,3.4227576963478006,Male,Syracuse University,,Dance,New York City,1942-03-02,,,1958.0,True
Mel Gorham,1959,F,1.63,,36.0,3.4227576963478006,Female,Did not go,Yes,,,,,,,False
Gwyneth Paltrow,1972-09-27,F,1.75,Jewish people,19.0,3.4202636738251417,Female,Did not go,,,Los Angeles California US,1972-09-27,,2.0,1989.0,False
Saul Rubinek,1948-07-02,M,1.7,Jewish people,35.0,3.4170516828462447,Male,Did not go,Yes,,Föhrenwald Wolfratshausen Upper Bavaria Alliedoccupied Germany,1948-07-02,,,1968.0,False
John Cothran Jr.,1947-10-31,M,1.83,,43.0,3.4167329308983354,,Did not go,,,,,,,,False
Mamie Van Doren,1931-02-06,F,1.63,Swedish Americans,70.0,3.416722381970997,Male,sub 1500 school,Yes,,Rowena South Dakota US,1931-02-06,,1.0,1951.0,False
Laura Prepon,1980-03-07,F,1.778,,21.0,3.416722381970997,Female,Did not go,Yes,,Watchung New Jersey US,1980-03-07,,2.0,1997.0,False
Ryan O%27Neal,1941-04-20,M,1.85,White people,41.0,3.416293439636126,Male,Did not go,,,Los Angeles California US,1941-04-20,,4.0,1960.0,False
Hamilton Camp,1934-10-30,M,1.57,,46.0,3.4138467918868662,Male,Did not go,Yes,Track,London England,1934-10-30,,6.0,1946.0,False
Anthony Newley,1931-09-24,M,1.75,Jewish people,55.0,3.4129568798619427,Male,Specialised Drama School,,,Homerton London England,1931-09-24,,5.0,1947.0,False
Dustin Nguyen,1962-09-17,M,1.82,Vietnamese Americans,31.0,3.41264038756158,Male,Did not go,,Dance,Saigon South Vietnam,1962-09-17,,3.0,1985.0,False
James Van Der Beek,1977-03-08,M,1.85,Dutch Americans,21.0,3.411341062093172,Male,sub 1500 school,,Baseball,Cheshire Connecticut US,1977-03-08,,6.0,1992.0,False
Jack Noseworthy,1969-12-21,M,1.708,,23.0,3.4105021632694794,Male,Specialised Music School,Yes,,Lynn Massachusetts US,,,1.0,1991.0,False
Brendan Fletcher,1981-12-15,M,1.67,,15.0,3.4099589985802656,Male,Did not go,,,Comox Valley British Columbia Canada,1981-12-15,,,1995.0,False
Brendan Sexton Iii,1980-02-21,M,1.68,,15.0,3.4096574105696846,,Did not go,,,,,,,,False
Jason Biggs,1978-05-12,M,1.765,Italian Americans,21.0,3.4087071678233447,Male,Did not go,Yes,Tennis,Pompton Plains New Jersey US,1978-05-12,,2.0,1991.0,False
Matt Keeslar,1972-10-15,M,1.88,,23.0,3.4083097669771627,Male,Specialised Music School,,,Grand Rapids Michigan US,1972-10-15,,2.0,1994.0,False
French Stewart,1964-02-20,M,1.77,,30.0,3.4080888289871427,Male,Specialised Drama School,Yes,,Albuquerque New Mexico US,1964-02-20,,1.0,1985.0,False
Brian Bell,1968-12-09,M,1.8034,,38.0,3.407706760179614,Male,Did not go,,,Iowa City Iowa,1968-12-09,,,1982.0,False
Meredith Ostrom,1977-02-18,F,1.72,,29.0,3.407706760179614,Female,York University,,,,,,,,True
Marilyn Manson,1969-01-05,M,1.854,,28.0,3.407412303447076,Female,Did not go,,,Canton Ohio,1969-01-05,,,1989.0,False
Francis Capra,1983-04-22,M,1.664,,13.0,3.40685030792656,Male,Did not go,,,Bronx New York US,1983-04-27,,,1993.0,False
Jack Huston,1982-12-07,M,1.82,,25.0,3.404488431060911,Male,Did not go,Yes,Dance,Kings Lynn Norfolk England1,1982-12-07,,2.0,2004.0,False
Winter Ave Zoli,,F,1.91,,,3.403063716495938,Female,sub 1500 school,Yes,Ballet,New Hope Pennsylvania US,,,,1993.0,False
Amerie,1980-01-12,F,1.65,Afro-Asians,24.0,3.402590127967497,Female,Did not go,,Track,Fitchburg Massachusetts,1980-01-12,,,2001.0,False
Ona Grauer,1978-02-24,F,1.689,,25.0,3.4007076462101926,Female,Did not go,,,Mexico,,,,1996.0,False
Michelle Forbes,1965-01-08,F,1.759,,28.0,3.4005582650556656,Female,Did not go,Yes,Ballet,Austin Texas US,1965-01-08,,,1980.0,False
Camryn Manheim,1961-03-08,F,1.78,Jewish people,33.0,3.399345624729588,Female,York University,,,West Caldwell New Jersey US,1961-03-08,,,1983.0,True
Brooke Nevin,1982-12-22,F,1.64,,24.0,3.399143696048721,Female,Did not go,,,Toronto Ontario Canada1,1982-12-22,,1.0,1996.0,False
Tarah Paige,1982-07-08,F,1.5768,,25.0,3.399143696048721,Female,Did not go,,Dance,Phoenix Maricopa County Arizona,1982-07-08,,,1994.0,False
Frank Caliendo,1974-01-19,M,1.7,,33.0,3.399143696048721,Male,Did not go,,,Chicago,1974-01-19,,,2000.0,False
Blake Brigham,,,1.17,,,3.3990900410002114,,Did not go,,,,,,,,False
Michael Gibbons,,M,1.85,,,3.3990900410002114,,Did not go,,,,,,,,False
Zach Josse,,M,1.68,,,3.3990900410002114,,Did not go,,,,,,,,False
Mia Farrow,1945-02-09,F,1.62,,37.0,3.397706731464035,Female,Did not go,Yes,,Los Angeles California US,1945-02-09,,14.0,1959.0,False
Luther Vandross,1951-04-20,M,1.905,,41.0,3.395601536118956,Male,Did not go,Yes,Dance,New York City US,1951-04-20,,,1969.0,False
Nicholas Braun,1988-05-01,M,1.956,,17.0,3.3954897150317023,Male,Did not go,,Track,Bethpage New York US,1988-05-01,,,2001.0,False
Judah Friedlander,1969-03-16,M,1.75,Croatian Americans,31.0,3.39540605014466,Male,New York University (NYU),,,Gaithersburg Maryland US,1969-03-16,,,1989.0,True
Jewel,1974-05-23,F,1.67,,25.0,3.392253589885717,,Did not go,,,,,,,,False
Djimon Hounsou,1964-04-24,M,1.88,African Americans,30.0,3.3902765321306108,Male,Did not go,,,Cotonou Dahomey,1964-04-24,BeninUnited States,1.0,1986.0,False
Jesse James,1989-09-14,M,1.78,White Americans,8.0,3.389631632719832,Male,Did not go,,,near Kearney Missouri US,1847-09-05,,4.0,1866.0,False
Terry Milam,,M,1.78,Hispanics,,3.3887284644369835,,Did not go,,,,,,,,False
Liana Liberato,1995-08-20,F,1.7,,16.0,3.3887284644369835,Female,Did not go,,,Galveston Texas US1,1995-08-20,,,2005.0,False
Lauren Hulsey,1989,F,1.65,,9.0,3.386495471707679,,Did not go,,,,,,,,False
Zoe Wanamaker,1949-05-13,F,1.61,Jewish people,47.0,3.385505372240936,Female,Specialised Drama School,Yes,,New York City US,1949-05-13,"United States, United Kingdom",,1970.0,False
Patricia Arquette,1968-04-08,F,1.562,French Americans,18.0,3.3851678314111444,Female,Did not go,,,Chicago Illinois US,1968-04-08,,2.0,1981.0,False
Sophie Marceau,1966-11-17,F,1.73,French,28.0,3.3849083432615714,Female,Did not go,Yes,,Paris France,1966-11-17,,2.0,1980.0,False
Kathy Baker,1950-06-08,F,1.68,,33.0,3.38484447080432,Female,Boston University,Yes,,Midland Texas US,1950-06-08,,2.0,1983.0,True
Marlee Matlin,1965-08-24,F,1.63,Jewish people,21.0,3.3845625004277524,Male,Did not go,Yes,Dance,Morton Grove Illinois US,1965-08-24,,4.0,1986.0,False
Michael Bublé,1975-09-09,M,1.772,Italian Canadians,25.0,3.381852166028542,Male,Did not go,,Dance,Burnaby British Columbia Canada,1975-09-09,CanadaItaly,4.0,1994.0,False
Shirley MacLaine,1934-04-24,F,1.7,,49.0,3.381141152837148,Female,Did not go,Yes,Baseball,Richmond Virginia US,1934-04-24,,,1952.0,False
Natalie Cole,1950-02-06,F,1.753,African Americans,47.0,3.3767054428287424,Female,Did not go,,Track,Los Angeles California US,1950-02-06,,1.0,1956.0,False
Michael McGrath,1985-09-04,M,1.77,,23.0,3.37609461536051,,Did not go,,,,,,,,False
Ted McGinley,1958-05-30,M,1.816,,26.0,3.375910302697798,Male,Did not go,,Dance,Newport Beach California US,1958-05-30,,2.0,1980.0,False
Kim Hunter,1922-11-12,F,1.613,,67.0,3.3750793721072125,Female,Did not go,Yes,,Detroit Michigan US,1922-11-12,,2.0,1943.0,False
Meg Tilly,1960-02-14,F,1.676,,23.0,3.373254007413893,Female,Did not go,,Dance,Long Beach California US,1960-02-14,,3.0,1980.0,False
Usher,1978-10-14,M,1.727,African Americans,20.0,3.3726548669085226,,Did not go,,,,,,,,False
Raphael Sbarge,1964-02-12,M,1.8,,19.0,3.3722597527594584,Male,Did not go,Yes,,New York City US,1964-02-12,,2.0,1969.0,False
Uma Thurman,1970-04-29,F,1.81,Swedish Americans,17.0,3.3721514195950992,Male,Did not go,,Soccer,Boston Massachusetts US,1970-04-29,,3.0,1985.0,False
Omar Epps,1973-07-20,M,1.778,African Americans,18.0,3.3717957858120484,Male,Did not go,Yes,Football,Brooklyn New York US,1973-07-20,,3.0,1988.0,False
Robyn Douglass,1953-06-21,F,1.7,,28.0,3.370328525676708,Female,Did not go,,,Sendai Japan,1953-06-21,,,1978.0,False
Sarah Jones,1983-07-17,F,1.73,,17.0,3.369706279768441,,Did not go,,,,,,,,False
Paul Mooney,1941-08-04,M,1.84,African Americans,59.0,3.369706279768441,,Did not go,,,,,,,,False
Nathaniel Parker,1962-05-18,M,1.85,,30.0,3.3666851365048807,Male,Specialised Drama School,Yes,,London England,1962-05-18,,2.0,1988.0,False
Katey Sagal,1954-01-19,F,1.753,Jewish people,34.0,3.3664153138234467,Female,Specialised Arts School,,Dance,Los Angeles California US,1954-01-19,,,1971.0,False
Cole Hauser,1975-03-22,M,1.854,Jewish people,17.0,3.366178062656956,Male,sub 1500 school,Yes,,Santa Barbara California US,1975-03-22,,3.0,1992.0,False
Alfre Woodard,1952-11-08,F,1.6,African Americans,36.0,3.3646089197368108,Male,Boston University,Yes,,Tulsa Oklahoma US,1952-11-08,,2.0,1973.0,True
Sanjeev Bhaskar,1963-10-31,M,1.651,,47.0,3.363356011664848,Male,University of Hertfordshire,Yes,,Ealing Middlesex England,,,1.0,1991.0,True
Lee Boardman,1972-07-02,M,1.8,,38.0,3.363356011664848,Male,Did not go,,,Stockport England,1972-07-02,,2.0,1996.0,False
Seth Gabel,1981-10-03,M,1.8,Jewish people,24.0,3.362190155738945,Male,York University,,,Hollywood Florida US,1981-10-03,,2.0,1999.0,True
Robbie Coltrane,1950-03-30,M,1.854,Scottish people,33.0,3.362172377561836,Male,Specialised Arts School,Yes,,Rutherglen Scotland,1950-03-30,,2.0,1978.0,False
David Fincher,1962-08-28,M,1.84,,39.0,3.3621117645925933,Male,Did not go,Yes,,Denver Colorado US,1962-08-28,,1.0,1980.0,False
Ayda Field,1979-05-17,F,1.73,Turkish Americans,28.0,3.3617649132810565,Male,Did not go,,,Los Angeles California US,1979-05-17,,4.0,1998.0,False
Kevin Alejandro,1976-04-07,M,1.82,Mexican Americans,31.0,3.3617649132810565,Male,Did not go,,,San Antonio Texas US,1976-04-07,,1.0,2002.0,False
Kathryn Harrold,1950-08-02,F,1.75,,31.0,3.361590580692915,Female,Did not go,,,Tazewell Virginia US,1950-08-02,,1.0,1975.0,False
Jane Krakowski,1968-10-11,F,1.64,,18.0,3.358896928040997,Female,Rutgers University–New Brunswick,Yes,Ballet,Parsippany New Jersey US,1968-10-11,,1.0,1981.0,True
Ernie Dingo,1956-07-31,M,1.86,Australians,31.0,3.3522963674516006,Male,Did not go,,Dance,Bullardoo Station Western Australia Australia,1956-07-31,,5.0,1976.0,False
David Packer,1962-08-25,M,1.72,,35.0,3.3514351503077315,,Did not go,,,,,,,,False
Randy Travis,1959-05-04,M,1.75,,38.0,3.351323313550981,Male,Did not go,,,Marshville North Carolina US,1959-05-04,,,1979.0,False
Jayne Heitmeyer,1960-10-30,F,1.75,,51.0,3.349091530407477,Female,McGill University,,,,,,,,True
John Houseman,1902-09-22,M,1.77,Jewish people,85.0,3.347466930518357,Male,sub 1500 school,Yes,,Bucharest Kingdom of Romania,1902-09-22,American,2.0,1930.0,False
Tanjareen Martin,1979-05-30,F,1.75,,29.0,3.3458825149467577,Female,sub 1500 school,,,Inglewood California,,,,1997.0,False
Trevor Moore,1980-04-04,M,1.98,,28.0,3.3458825149467577,,Did not go,,,,,,,,False
Joey Luthman,1997-01-14,M,1.42,German Americans,12.0,3.3458825149467577,Male,Did not go,,,Dayton Ohio US,1997-01-14,,,2002.0,False
Jennifer Jason Leigh,1962-02-05,F,1.6,Russian Americans,20.0,3.3450941952009896,Female,Did not go,,,Los Angeles California US,1962-02-05,,1.0,1976.0,False
Wood Harris,1969-10-17,M,1.91,African Americans,24.0,3.3434344968445857,Male,York University,Yes,Basketball,Chicago Illinois US,1969-10-17,,2.0,1993.0,True
Eric Stoltz,1961-09-30,M,1.83,,20.0,3.3433240487447624,Male,Did not go,,Dance,Whittier California US,1961-09-30,,,1978.0,False
Sean Patrick Flanery,1965-10-11,M,1.8,Irish Americans,30.0,3.34252518140482,Male,Did not go,,,Lake Charles Louisiana US,1965-10-11,,3.0,1987.0,False
Lauren Hutton,1943-11-17,F,1.69,,41.0,3.3418865454299773,Female,Tulane University,,,Charleston South Carolina US,1943-11-17,,,1963.0,True
Nicole Eggert,1972-01-13,F,1.6,,14.0,3.341452170570045,Female,Did not go,,,Glendale California US,1972-01-13,,2.0,1977.0,False
Danny Epper,1962,M,1.93,,49.0,3.3345473372448406,,Did not go,,,,,,,,False
Gregory C. Bachaud,1950-03-28,M,1.83,,61.0,3.3345473372448406,,Did not go,,,,,,,,False
Jean-Luc Bilodeau,1990-11-04,M,1.78,,21.0,3.327699874716433,Male,Did not go,,Dance,Vancouver British Columbia Canada,1990-11-04,,,2004.0,False
Paul Scheer,1976-01-31,M,1.82,,36.0,3.327699874716433,Male,York University,,,Huntington New York US,1976-01-31,,2.0,1998.0,True
Don Ho,1930-08-13,M,1.75,Asian Americans,65.0,3.3212255402713944,Male,Did not go,Yes,Football,Honolulu,1930-08-13,,,1959.0,False
Katie Wright,1981-12-25,F,1.7,,17.0,3.3193834822227104,Female,Did not go,,,Kansas City Missouri US,1971-12-25,,1.0,1993.0,False
Bobcat Goldthwait,1962-05-26,M,1.7,,22.0,3.3184388284698088,Male,National University of Kyiv-Mohyla Academy (NaUKMA),,,Syracuse New York US,1962-05-26,,2.0,1980.0,True
Patti Lupone,1949-04-21,F,1.57,Italians,35.0,3.3129525607228727,Female,Specialised Music School,,Dance,Northport New York US,1949-04-21,,1.0,1971.0,False
Ellen Barkin,1954-04-16,F,1.7,Russian Americans,27.0,3.312258171368078,Female,sub 1500 school,Yes,Track,The Bronx New York US,1954-04-16,,2.0,1978.0,False
Jeff Goldblum,1952-10-22,M,1.94,Jewish people,30.0,3.312180637039231,Male,Did not go,Yes,Dance,West Homestead Pennsylvania US,1952-10-22,,2.0,2001.0,False
Jennifer Tisdale,1981-09-18,F,1.72,Jewish people,20.0,3.3110813371484324,Female,sub 1500 school,,Track,Neptune City New Jersey US,1981-09-18,,1.0,2000.0,False
Jane Levy,1989-12-29,F,1.57,,22.0,3.3075322648633354,,Specialised Acting School,,Soccer,Los Angeles California US,1989-12-29,,,2011.0,False
Bobby Cooper,1954-07-16,M,1.8,,41.0,3.305884059468452,,Did not go,,,,,,,,False
Ryan Newman,1998-04-24,F,1.56,,8.0,3.304787384224965,,Did not go,,,,,,,,False
Bruce Campbell,1958-06-22,M,1.85,,23.0,3.304531502499316,Male,Did not go,Yes,,Royal Oak Michigan US,1958-06-22,,2.0,1972.0,False
Don Stark,1954-08-20,M,1.67,,41.0,3.3026441691890644,Male,sub 1500 school,Yes,Football,New York City New York US,1954-07-05,,,1963.0,False
Jessica Walter,1941-01-31,F,1.73,,47.0,3.300826940232067,Female,Specialised Drama School,Yes,Ballet,New York City US,1941-01-31,,1.0,1960.0,False
David Rasche,1944-08-07,M,1.829,,37.0,3.29813440410556,Male,University of Chicago,Yes,,St Louis Missouri US,,,3.0,1977.0,True
Vanessa Marshall,1969-10-19,F,1.73,,30.0,3.2973126233541303,Female,Princeton University,,Martial arts,Los Angeles California US,1969-10-19,,,1994.0,True
Matthew Arkin,1960-03-21,M,1.75,,47.0,3.2963287623110014,Male,Wesleyan University,,,Brooklyn New York US,1960-03-21,,2.0,1969.0,True
Charlie Sheen,1965-09-03,M,1.75,Spanish Americans,18.0,3.294434414169484,Male,Did not go,,Baseball,New York City New York US,1965-09-03,,5.0,1973.0,False
Nakia Burrise,1974-10-21,F,1.65,African Americans,22.0,3.2908463882719685,Female,Did not go,,Track,San Diego California US,,,,1996.0,False
Johnny Yong Bosch,1976-01-06,M,1.75,Asian Americans,20.0,3.2908463882719685,Male,Did not go,,Soccer,Kansas City Missouri US,1976-01-06,,2.0,1994.0,False
Amy Jo Johnson,1970-10-06,F,1.57,,26.0,3.2908463882719685,Female,Did not go,,,Hyannis Massachusetts US,1970-10-06,"United States 1970present, Canada 2015present",1.0,1993.0,False
Steve Cardenas,1974-05-29,M,1.72,,22.0,3.2908463882719685,Male,Did not go,,Martial arts,Hampton Virginia US,1974-05-29,,,1992.0,False
Austin St. John,1975-09-17,M,1.73,,21.0,3.2908463882719685,Male,Concordia University,,Martial arts,Roswell New Mexico US,1974-09-17,,,1993.0,True
Elizabeth Olsen,1989-02-16,F,1.7,White Americans,21.0,3.290187651755203,Female,New York University (NYU),Yes,Dance,Sherman Oaks California US,1989-02-16,,,1993.0,True
Troy Beyer,1964-11-07,F,1.65,African Americans,31.0,3.2892627949243365,Female,Did not go,,,New York City US,,,,1984.0,False
Eric McCormack,1963-04-18,M,1.8,Scottish Canadians,35.0,3.288684759148244,Male,Did not go,Yes,,Toronto Ontario Canada,1963-04-18,Canadian 1963presentAmerican 2000present1,1.0,1986.0,False
Kim Alexis,1960-07-15,F,1.76,White people,38.0,3.288684759148244,Female,Did not go,,,Lockport New York US,1960-07-15,,3.0,1978.0,False
Jill Scott,1972-04-04,F,1.68,African Americans,34.0,3.287838885117787,,Did not go,,,,,,,,False
Michael Cassidy,1983-03-20,M,1.83,,23.0,3.286805419347875,,Did not go,,,,,,,,False
Miguel Ferrer,1955-02-07,M,1.83,,28.0,3.2842848715464155,Male,Did not go,,,Santa Monica California US,1955-02-07,,2.0,1981.0,False
Cristine Rose,1951-01-31,F,1.65,,36.0,3.2828624517264027,Female,Stanford University,,,Lynwood California US,,,,1977.0,True
Isabelle Adjani,1955-06-27,F,1.63,Germans,31.0,3.2828624517264027,Female,Did not go,Yes,,Paris France,1955-06-27,,2.0,1970.0,False
Joseph Cotten,1905-05-15,M,1.88,,75.0,3.282458518454035,Male,Did not go,,,Petersburg Virginia US,1905-05-15,,1.0,1930.0,False
Paul Koslo,1944-06-27,M,1.87,,36.0,3.282458518454035,Male,Did not go,,,Germany,1944-06-27,,,1966.0,False
Michael Moore,1954-04-23,M,1.82,Irish Americans,44.0,3.2823883760543944,Male,Did not go,,,Flint Michigan US,1954-04-23,,,1976.0,False
Esti Ginzborg,1990-03-06,F,1.73,,20.0,3.28235906834844,Female,Did not go,,,Tel Aviv Israel,1990-03-06,,2.0,,False
Susan Ward,1976-04-15,F,1.626,,24.0,3.2821488965282346,Female,Did not go,Yes,,Monroe Louisiana US,1976-04-15,,1.0,1992.0,False
Larry Linville,1939-09-29,M,1.85,,48.0,3.2791771021060763,Male,University of Colorado Boulder,Yes,,Ojai California US,1939-09-29,,1.0,1960.0,True
Jazzmun,1969-02-10,M,1.85,African Americans,36.0,3.276728382253784,Male,Did not go,,,San Diego California US,1969-02-10,,,1984.0,False
Robert Baker,1979-10-15,M,1.88,,23.0,3.274761938004564,,Did not go,,,,,,,,False
Kelly Clarkson,1982-04-24,F,1.61,White people,21.0,3.2718691555742465,Female,Specialised Music School,,Track,Fort Worth Texas US,1982-04-24,,2.0,2002.0,False
Michael Ray Fox,1982-09-11,M,1.89,,25.0,3.271647691097594,,Did not go,,,,,,,,False
Barbara Carrera,1945-12-31,F,1.75,,37.0,3.271473111370344,Female,Did not go,,,Bluefields Nicaragua,,,,1970.0,False
Dylan Taylor,1981-07-09,M,1.95,,24.0,3.2700569761599096,,Did not go,,,,,,,,False
Tommy Davidson,1963-11-10,M,1.67,African Americans,32.0,3.2690567267640853,Male,sub 1500 school,Yes,,Rolling Fork Mississippi US,1963-11-10,,6.0,1984.0,False
Holly Valance,1983-05-11,F,1.73,Serbian Australians,23.0,3.267147360421653,Female,Did not go,,,Fitzroy Victoria Australia,1983-05-11,"Australia, United Kingdom",2.0,1997.0,False
Madeline Zima,1985-09-16,F,1.73,Polish Americans,6.0,3.2588507496982504,Female,Did not go,,,New Haven Connecticut US,1985-09-16,,,1992.0,False
John Amos,1939-12-27,M,1.81,African Americans,48.0,3.2561949401894834,Male,Colorado State University,,Football,Newark New Jersey US,1939-12-27,,2.0,1970.0,True
Lois Chiles,1947-04-15,F,1.72,,39.0,3.255938509656388,Female,Did not go,,,Houston Texas US,1947-04-15,,,1972.0,False
Taboo,1975-07-14,M,1.8,,33.0,3.255182798128752,,Did not go,,,,,,,,False
Tim Man,1979-11-22,M,1.64,,29.0,3.255182798128752,,Did not go,,,,,,,,False
Jessica Harper,1949-10-10,F,1.62,,44.0,3.254617196062559,Female,sub 1500 school,,Track,Chicago Illinois US,1949-10-03,,2.0,1969.0,False
Abdul Ayoola,1965-02-01,M,1.83,,47.0,3.2537418219647005,,Did not go,,,,,,,,False
Dave Attell,1965-01-18,M,1.75,,36.0,3.253661049159801,Male,Did not go,,,New York City,1965-01-18,,,1988.0,False
Dave Foley,1963-01-04,M,1.72,,35.0,3.253588350821525,Male,Did not go,,,Etobicoke,1963-01-04,,3.0,1986.0,False
Luciano Pavarotti,1935-10-12,M,1.75,,46.0,3.251057362827978,Male,Did not go,,,Modena Italy,1935-10-12,,4.0,1955.0,False
Charles Durning,1923-02-28,M,1.73,,57.0,3.251028912887074,Male,Did not go,Yes,Dance,Highland Falls New York US,1923-02-28,,3.0,1951.0,False
Michael Learned,1939-04-09,F,1.702,,46.0,3.249004554433523,Female,Did not go,Yes,,Washington DC US,1939-04-09,,3.0,1961.0,False
Josh Radnor,1974-07-29,M,1.83,Jewish people,37.0,3.2485309233531208,Male,York University,Yes,Dance,Columbus Ohio US,1974-07-29,,,2000.0,True
Jessica Lundy,1966-03-20,F,1.72,,22.0,3.246603716131063,Female,Did not go,Yes,,San Diego California US34,1966-03-20,,,1988.0,False
Angie Harmon,1972-08-10,F,1.765,Scottish Americans,30.0,3.2461660777885206,Male,Did not go,,,Dallas Texas US,1972-08-10,,3.0,1987.0,False
Tom Wopat,1951-09-09,M,1.829,,58.0,3.245419610775404,Male,Did not go,Yes,,Lodi Wisconsin US,1951-09-09,,5.0,1977.0,False
Julia Jones,1981-01-23,F,1.73,,29.0,3.245419610775404,Female,Columbia University,Yes,Ballet,Boston Massachusetts US,1981-01-23,,,2003.0,True
Millie Perkins,1938-05-12,F,1.49,,49.0,3.24525821360048,Female,Did not go,,,Passaic New Jersey US,1936-05-12,,2.0,1959.0,False
Michael Paré,1958-10-09,M,1.854,,36.0,3.244563134379133,,sub 1500 school,,,New York City US,1958-10-09,,1.0,1981.0,False
Matt Lanter,1983-04-01,M,1.78,,25.0,3.24180797215633,Male,The University of Georgia,,Baseball,Massillon Ohio US,1983-04-01,,1.0,2004.0,True
Tony Jay,1933-02-02,M,1.93,Jewish people,55.0,3.2415775608709163,Male,sub 1500 school,,,London England,1933-02-02,,1.0,1966.0,False
A. J. Langer,1974-05-22,F,1.55,,17.0,3.238134053878286,Female,Did not go,,,Columbus Ohio US,1974-05-22,,2.0,1990.0,False
Dean Norris,1961,M,1.73,,29.0,3.238129215854064,Male,Harvard University,,,South Bend Indiana US,1963-04-08,,5.0,1985.0,True
Tom Guiry,1981-10-12,M,1.73,,18.0,3.236626331730461,Male,Did not go,,,Toms River New Jersey US,1981-10-12,,3.0,1992.0,False
Doug McClure,1935-05-11,M,1.854,,49.0,3.2349177201499595,Male,Did not go,,,,1935-05-11,,,,False
Wade Robson,1982-09-17,M,1.93,,13.0,3.2328772955220217,,Did not go,,,Brisbane Queensland Australia,1982-09-17,,1.0,1989.0,False
Vanessa Minnillo,1980-11-09,F,1.7,Italians,27.0,3.224638070105168,Female,Did not go,,,Angeles City Philippines,1980-11-09,,3.0,1985.0,False
Kim Kardashian,1980-10-21,F,1.57,Armenian Americans,27.0,3.224638070105168,Female,Did not go,,Football,Los Angeles California US,1980-10-21,,4.0,2003.0,False
Dan Schneider,1966-01-14,M,1.82,,22.0,3.2227706180293185,Male,Did not go,Yes,,Memphis Tennessee US,1966-01-14,,,1984.0,False
Geraldine McEwan,1932-05-09,F,1.65,,57.0,3.220030268953069,Female,Did not go,Yes,,Old Windsor Berkshire England,1932-05-09,,2.0,1946.0,False
Gina Bellman,1966-07-10,F,1.69,British Jews,18.0,3.2167253858843474,Female,Did not go,Yes,,Auckland New Zealand,,,1.0,1982.0,False
Edward Woodward,1930-06-01,M,1.83,,54.0,3.2167253858843474,Male,Specialised Drama School,,,Croydon Surrey England,1930-06-01,,4.0,1946.0,False
Sandra Bernhard,1955-06-06,F,1.78,Jewish people,33.0,3.2096301210784564,Female,Did not go,Yes,Dance,Flint Michigan US,1955-06-06,,1.0,1977.0,False
Steven Berkoff,1937-08-03,M,1.75,Jewish people,45.0,3.2092660617950965,Male,Specialised Drama School,Yes,,Stepney London England,1937-08-03,,2.0,1958.0,False
