Actor name,Actor date of birth,Actor gender,Actor height,Actor ethnicity,Actor age at movie release,Actor Score Index,Gender,University,Theater,Sports,Birth City,Date of Birth,Citizenship,Number of Children,Career Start
Jennifer Siebel,1974-06-19,F,1.7,,31.0,4.12959524109356,,Stanford University BA MBA,Yes,Soccer,,1974-06-19,,4,
Jesse L. Martin,1969-01-18,M,1.88,African Americans,36.0,4.12959524109356,Male,New York University BA,Yes,Dance,Rocky Mount Virginia US,1969-01-18,,,1993
Ashley Peldon,1984-04-02,F,1.6,,12.0,4.129073607919971,Female,,,,Montpelier Vermont US,1984-04-02,,2,1989
Johnny Crawford,1946-03-26,M,1.73,European Americans,53.0,4.128869142912153,Male,,Yes,Dance,Los Angeles California US,1946-03-26,,,1955
Raven-Symoné,1985-12-10,F,1.57,African Americans,15.0,4.128677704198841,Female,Academy of Art University AA,,Track,Atlanta Georgia US1,1985-12-10,,,1989
Max Wright,1943-08-02,M,1.85,,37.0,4.12840103471419,Male,,Yes,,Detroit Michigan US,1943-08-02,,2,1968
Melonie Diaz,1984-04-25,F,1.57,,23.0,4.127941494609791,Female,Tisch School of the Arts,Yes,Dance,New York City New York US,1984-04-25,,1,2001
Peter Cook,1937-11-17,M,1.87,,45.0,4.127076749825412,Male,Pembroke College Cambridge,Yes,,Torquay Devon England,1937-11-17,,2,1958
Jill Hennessy,1968-11-25,F,1.73,Italian Canadians,24.0,4.126545769049024,Female,,,,Edmonton Alberta Canada,1968-11-25,,2,1988
Jaleel White,1976-11-27,M,1.791,African Americans,21.0,4.126026040787082,Male,University of California Los Angeles BA,,,Culver City California US,1976-11-27,,1,1984
Celine Dion,1968-03-30,F,1.71,French Canadians,30.0,4.126026040787082,Female,,,,Charlemagne Quebec Canada,1968-03-30,,3,1980
Bryan White,1974-02-17,M,1.75,,24.0,4.126026040787082,,,,,Lawton,1974-02-17,,,1994
Clare Higgins,1955-11-10,F,1.62,,33.0,4.126001590487819,Female,London Academy of Music and Dramatic Art,,,Bradford West Riding of Yorkshire England,1955-11-10,,,1980
Alberta Watson,1955-03-06,F,1.727,,28.0,4.125610012772877,Female,,Yes,,Toronto Ontario Canada,1955-03-06,,,1975
Elizabeth Peña,1961-09-23,F,1.57,,24.0,4.125278440082269,Male,,Yes,,Elizabeth New Jersey US,1959-09-23,,2,1979
Christina Milian,1981-09-26,F,1.57,,23.0,4.125016740413577,Female,,,,Jersey City New Jersey US,1981-09-26,,3,1996
Chris Farley,1964-02-15,M,1.73,Irish Americans,27.0,4.12488419887176,Male,Marquette University BA,Yes,,Madison Wisconsin US,1964-02-15,,,1986
Stuart Margolin,1940-01-31,M,1.77,,41.0,4.124609822141281,Male,,,,Davenport Iowa US,1940-01-31,,3,1961
Holt McCallany,1964-09-03,M,1.87,,22.0,4.124585254981518,Male,,Yes,Track,New York City US,1963-09-03,,,1986
Elisabeth Röhm,1973-04-28,F,1.73,,38.0,4.124489618485972,Female,Sarah Lawrence College,,,Düsseldorf West Germany,1973-04-28,,1,1997
Robert Davi,1953-06-26,M,1.88,,31.0,4.124108777015289,Male,Hofstra University BA,Yes,,New York City US,1951-06-26,,6,1977
Natasha Henstridge,1974-08-15,F,1.78,,20.0,4.124002841007336,Female,,Yes,,Springdale Newfoundland and Labrador Canada,1974-08-15,,2,1989
Nick Zano,1978-03-08,M,1.85,,24.0,4.123130726625026,Male,,,,Nutley New Jersey US,1978-03-08,,2,2002
Rose McGowan,1973-09-05,F,1.63,French Americans,18.0,4.122231733251573,,,,Ballet,Florence Tuscany Italy,1973-09-05,,,1990
Erinn Hayes,1976-05-25,F,1.75,,29.0,4.122113125799186,Female,University of Colorado Boulder,,,San Fernando California US1,1976-05-25,,2,2001
Todd Bryant,1963-10-08,M,1.9,,21.0,4.121589208785656,,,,,,,,,
Chris Kattan,1970-10-19,M,1.68,American Jews,27.0,4.120799691817866,Male,,,,Culver City California US,1970-10-19,,,1993
Debra Jo Rupp,1951-02-24,F,1.575,,37.0,4.120630907446128,Female,,,,,1951-02-24,,,
Barry Pepper,1970-04-04,M,1.78,,28.0,4.120629066846916,Male,,,,Campbell River British Columbia Canada,1970-04-04,CanadaUnited States,1,1992
Tim McGraw,1967-05-01,M,1.778,,37.0,4.120520430513723,Male,Academy of Country Music,,Baseball,Start Louisiana US,1967-05-01,,3,1990
Donna Dixon,1957-07-20,F,1.75,,28.0,4.12046138217804,Female,,,,Alexandria Virginia US,1957-07-20,,3,1980
Paul Wesley,1982-07-23,M,1.8,Polish Americans,19.0,4.119808206201766,Male,,Yes,,New Brunswick New Jersey US,1982-07-23,,,1999
Carole Bouquet,1957-08-18,F,1.72,,23.0,4.119532996556415,Female,,,,NeuillysurSeine France,1957-08-18,,2,1977
Jason Robards,1922-07-26,M,1.765,,58.0,4.118543119808471,Male,American Academy of Dramatic Arts,Yes,,Chicago Illinois US,1922-07-26,,6,1947
Natasha Lyonne,1979-04-04,F,1.6,,17.0,4.118323516611824,Female,Tisch School of the Arts,,,New York City US,1979-04-04,,,1986
James Haven,1973-05-11,M,1.85,,28.0,4.11832351660416,Male,USC School of CinemaTelevision,,Dance,Los Angeles California US,1973-05-11,,,1998
Penn Jillette,1955-03-05,M,1.98,,32.0,4.116892977767871,Male,Ringling Bros and Barnum Bailey Clown College,Yes,,Greenfield Massachusetts US,1955-03-05,,2,1974
Al Shearer,1972-08-13,M,1.93,African Americans,29.0,4.116654675009382,Male,Howard University,,,Columbus Ohio  United States,1977-08-14,,,
Essence Atkins,1972-02-07,F,1.56,African Americans,29.0,4.116654675009382,Female,,,Dance,Brooklyn New York US,1972-02-07,,1,1986
Lark Voorhies,1974-03-25,F,1.6,African Americans,27.0,4.116654675009382,Female,,,,Nashville Tennessee US,1974-03-25,,,1987
David Lewis,1976-08-04,M,1.82,,22.0,4.11654940615914,,,,,,,,,
Judith Jones,,F,1.63,,,4.116543166828308,Female,Bennington College,,, US,1924-03-10,,,
Daniella Van Graas,1975-08-04,F,1.8,,31.0,4.11630195651647,Female,,,Track,Tuitjenhorn Netherlands,,,3,1997
Nicki Aycox,1975-05-26,F,1.626,,31.0,4.11630195651647,Female,,,,Hennessey Oklahoma US,1975-05-26,,,1995
Scott Bakula,1954-10-09,M,1.829,Croatian Americans,36.0,4.116281442868176,Male,,Yes,Baseball,St Louis Missouri US,1954-10-09,,4,1977
Sally Kirkland,1941-10-31,F,1.77,,48.0,4.115806587779466,Male,Actors StudioAmerican Academy of Dramatic Arts,Yes,,New York City US,1941-10-31,,,1962
Isla Fisher,1976-02-03,F,1.6,,26.0,4.115542535395969,Female,,Yes,,Muscat Oman,1976-02-03,,3,1985
Shu Qi,1976-04-16,F,1.68,,26.0,4.115057857975236,Female,New Taipei Municipal Wu Feng Junior High School,,,Xindian Taipei County Taiwan,1976-04-16,"Hong Kong, Taiwan",,1994
Izzy Stradlin,1962-04-08,M,1.8,,26.0,4.114073929904061,Male,,,,Lafayette Indiana,1962-04-08,,,1979
Duff McKagan,1964-02-05,M,1.9,,24.0,4.114073929904061,Male,Seattle University,,,Seattle,1964-02-05,,,1979
Steven Adler,1965-01-22,M,1.7,Jewish people,23.0,4.114073929904061,Male,,,,Cleveland Ohio,1965-01-22,,,1982
Michael E. Burgess,1960-06-01,M,1.77,,28.0,4.114073929904061,Male,,,,Studio City California United States,1960-06-01,,,1971
Axl Rose,1962-02-06,M,1.75,White Americans,26.0,4.114073929904061,Male,,,,Lafayette Indiana,1962-02-06,,,1983
Katharine Ross,1940-01-29,F,1.66,,40.0,4.113796744442054,Female,,Yes,,Los Angeles California US,1940-01-29,,1,1962
Sarah Steele,1988-09-16,F,1.524,,16.0,4.113441177662192,Female,Columbia University BA,Yes,,Pittsburgh Pennsylvania US,1988-07-24,,,2003
Ian Hyland,1995-02-01,M,1.83,,9.0,4.113441177662192,,,,,,,,,
Stracy Diaz,1966-09-12,,1.54,,43.0,4.113321840505523,,,,,,,,,
Ned Bellamy,1957-05-07,M,1.83,,42.0,4.1131965090689535,Male,,,,,1957-05-07,,,
Ezra Miller,1992-09-30,M,1.8,Jewish people,16.0,4.112893539857532,Male,,,Dance,Wyckoff New Jersey US,1992-09-30,,,2007
Zelda Rubinstein,1933-05-28,F,1.29,,49.0,4.112496775861883,Female,"University of Pittsburgh, University of California Berkeley",,,Pittsburgh Pennsylvania US,,,,1978
Bijou Phillips,1980-04-01,F,1.68,,20.0,4.112317729953951,Female,,,,Greenwich Connecticut US,1980-04-01,,1,1994
Johnny Knoxville,1971-03-11,M,1.85,,29.0,4.112094216055106,Male,,,Baseball,Knoxville Tennessee US,1971-03-11,,3,1992
Lee Majors,1939-04-23,M,1.829,,61.0,4.111648539098019,Male,Eastern Kentucky University,,Football,Wyandotte Michigan US,1939-04-23,,4,1964
Clyde Kusatsu,1948-09-13,M,1.651,,37.0,4.111418644301799,Male,Northwestern University,Yes,,Honolulu Territory of Hawaii US1,1948-09-13,,2,1973
Donald O%27Connor,1925-08-28,M,1.7,,67.0,4.110735154049923,Male,,,Dance,Chicago Illinois US,1925-08-28,,4,1932
Charles Shaughnessy,1955-02-09,M,1.816,,53.0,4.110441133343272,Male,Magdalene College Cambridge,Yes,,London England,1955-02-09,,2,1983
Choi Jeong-Yun,1977-05-09,F,1.62,Koreans,26.0,4.110364020620149,,,,,,,,,
Lee Seung-Yeon,1968-08-18,F,1.7,,35.0,4.110364020620149,,,,,,,,,
Ju Jin-Mo,1974-08-11,M,1.8,,29.0,4.110364020620149,,,,,,,,,
Zachery Ty Bryan,1981-10-09,M,1.8,,17.0,4.109759795608504,Male,,,Baseball,Aurora Colorado US,1981-10-09,,7,1990
Dilshad Vadsaria,1985-09-14,F,1.57,Indian Americans,25.0,4.109423263314502,,,,,Karachi Sindh Pakistan,,,,2006
George Wyner,1945-10-20,M,1.85,,35.0,4.108461768588921,Male,Syracuse University,,,Boston Massachusetts US,1945-10-20,,2,1971
Jessica Capshaw,1976-08-09,F,1.651,,22.0,4.108303383576136,Female,Brown University BA,,,Columbia Missouri US,1976-08-09,,4,1997
Patrick Cranshaw,1919-06-17,M,1.54,,78.0,4.108269079497754,Male,Old School,,Dance,Bartlesville Oklahoma US,1919-06-17,,,1950
Ashley Laurence,1966-05-28,F,1.68,,22.0,4.107590418421165,Female,,,Martial arts,,,,,1984
Dan Lauria,1947-04-12,M,1.8,,50.0,4.107448078318995,Male,,,Football,Brooklyn New York US,1947-04-12,,,1962
Jeremy Lelliott,1982-11-05,,1.65,,13.0,4.10740972526193,,,,,,,,,
Kurt Fuller,1953-09-16,M,1.9,,34.0,4.107278920741308,Male,Lincoln High School Stockton CaliforniaUniversity of California Berkeley,Yes,,San Francisco California US,1953-09-16,,2,1984
Sandra Hess,1968-03-27,F,1.67,,24.0,4.10658699751785,Female,University of Zurich,,,Zürich Switzerland,1968-03-27,,,1992
Barbara Garrick,1965-12-03,F,1.72,,27.0,4.106431150645227,Female,,,,,,,,1985
Betty Buckley,1947-07-03,F,1.67,,40.0,4.106146481854388,Female,,Yes,,Fort Worth Texas US,1947-07-03,,,1964
John Mills,1908-02-22,M,1.73,English people,74.0,4.106090646908863,Male,British Academy of Film and Television Arts,Yes,,North Elmham Norfolk England,1908-02-22,,3,1929
Kevin Farley,1965-06-08,M,1.78,,33.0,4.1060347056224265,Male,,,,Madison Wisconsin US,1965-06-08,,,1995
Jonathan Ross,1960-11-17,M,1.86,,44.0,4.105960564604272,,Southampton College of ArtSchool of Slavonic and Eastern European Studies University College London,,,London England,1960-11-17,,3,1970
Elton John,1947-03-25,M,1.72,,55.0,4.10556114538548,,Royal Academy of Music,,Dance,Pinner Middlesex England,1947-03-25,,2,1962
Caroline Rhea,1964-04-13,F,1.727,,35.0,4.105498233581486,Female,,,,Westmount Quebec Canada,1964-04-13,CanadaUnited States,1,1986
Victoria Justice,1993-02-19,F,1.7,,19.0,4.105493702153338,Female,,,,Hollywood Florida US,1993-02-19,,,2003
Jermaine Dupri,1972-09-23,M,1.613,African Americans,29.0,4.104758284244378,Male,,,Dance,Asheville North Carolina US12,1972-09-23,,2,1984
Wendy Braun,1970-04-05,F,1.77,,39.0,4.104373762820588,,,,,,,,,
Rena Riffel,1969-03-05,F,1.72,,26.0,4.103217323915649,Female,,,Dance,Los Angeles California United States,1969-03-05,,,1988
Natassia Malthe,1974-01-19,F,1.651,Filipino people,24.0,4.103096287207678,Female,,Yes,Ballet,Oslo Norway,1974-01-19,,1,1996
James Nesbitt,1965-01-15,M,1.82,Irish people,31.0,4.10262688643947,Male,Royal Central School of Speech and Drama,Yes,Football,Ballymena County Antrim Northern Ireland,1965-01-15,United KingdomIreland,2,1981
Cody Linley,1989-11-20,M,1.78,,10.0,4.102513192309622,Male,,,,Lewisville Texas US,1989-11-20,,,1994
Griff Furst,1981-09-17,M,1.8,,27.0,4.101919670859827,Male,,,,,,,,
Oliver James,1980-06-01,M,1.83,,22.0,4.101788753066698,,,,,,,,,
Gary Anthony Williams,1966-03-14,M,1.8,African Americans,36.0,4.101703220740746,Male,,Yes,,Fayetteville Georgia US,1966-03-14,,1,1987
Ann Hearn,1953-06-27,F,1.63,,39.0,4.101040655597318,Male,University of Georgia,,,Griffin Georgia,1953-06-27,,2,1982
Beth Ostrosky,1972-07-15,F,1.78,,23.0,4.10079329322257,Female,,,,Pittsburgh Pennsylvania US,1972-07-15,,,1996
Tracee Ellis Ross,1972-10-29,F,1.7,African Americans,27.0,4.100714678775243,Female,Brown University BA,Yes,,Los Angeles California US,1972-10-29,,,1996
Amy Locane,1971-12-19,F,1.67,,18.0,4.100171124527531,Female,Villa Victoria Academy,,,Trenton New Jersey US,1971-12-19,,2,1984
John Travolta,1954-02-18,M,1.83,Italian Americans,27.0,4.0998784586356525,Male,,Yes,Football,Englewood New Jersey US,1954-02-18,,3,1972
Emma Caulfield,1973-04-08,F,1.65,,29.0,4.099084741651977,Female,,,,San Diego California US,1973-04-08,,1,1994
Marcus Giamatti,1961-10-03,M,1.85,,29.0,4.09904855735428,Male,Bowdoin College BAYale University MFA,,Baseball,New Haven Connecticut US,1961-10-03,,3,1986
Patrick Duffy,1949-03-17,M,1.87,,58.0,4.098104751162311,Male,University of Washington AB,,Swimming,Townsend Montana US,1949-03-17,,2,1974
Eric Thal,1965-08-10,,1.87,,26.0,4.097618051427814,Male,,Yes,,,,,,
Barbara Alyn Woods,1962-03-11,F,1.67,,34.0,4.097571568333813,Female,,,Dance,,,,,1988
Pandora Peaks,1964-04-12,F,1.68,White Americans,32.0,4.097571568333813,Female,,,,Atlanta Georgia US,1964-04-12,,,1991
Charlotte Lewis,1967-08-07,F,1.689,Chileans in the United Kingdom,18.0,4.097456769903764,Female,,,,Kensington London England United Kingdom,1967-08-07,,,1984
Ben Browder,1962-12-11,M,1.85,,27.0,4.097406954016002,Male,Furman UniversityRoyal Central School of Speech and Drama,,Football,Memphis Tennessee US,1962-12-11,,,1978
Byron Lawson,1976-08-26,M,1.77,Chinese Canadians,29.0,4.097382992735921,Male,,,,Vancouver British Columbia Canada,1976-08-26,,,1995
Adrian Zmed,1954-03-04,M,1.727,,28.0,4.097298212650652,Male,,,Football,Chicago Illinois US,1954-03-14,,2,1978
Billy Bush,1971-10-13,M,1.75,,38.0,4.097277478363077,Male,Colby College BA,,,Manhattan New York US1,1971-10-13,,3,
Jamie Foxx,1967-12-13,M,1.78,African Americans,25.0,4.096720904296363,Male,United States International University BA,,Football,Terrell Texas US,1967-12-13,,2,1988
Laraine Newman,1952-03-02,F,1.65,Jewish people,33.0,4.096703851503706,Female,School,Yes,,Los Angeles California US,1952-03-02,,2,1975
Danny Murphy,1955-08,M,1.82,,,4.096560896537109,,,,,,,,,
Bella Thorne,1997-10-08,F,1.64,,6.0,4.096560896537109,Female,,,,Pembroke Pines Florida US,1997-10-08,,,2003
Steve Tyler,1963-09-21,M,1.765,,40.0,4.096560896537109,Male,,,,New York City US,1948-03-26,,4,1970
Nathalie Kelley,1985-03-03,F,1.7,,21.0,4.096215141165367,Female,,,,Lima Peru,1984-03-03,,,2005
Daniel Baldwin,1960-10-05,M,1.88,,30.0,4.0955610621436005,Male,,,Football,Massapequa New York US,1960-10-05,,6,1988
Aidan Quinn,1959-03-08,M,1.83,,26.0,4.095496006137372,Male,,Yes,,Chicago Illinois US,1959-03-08,,2,1979
Marsha Mason,1942-04-03,F,1.61,,44.0,4.0954743992663545,Female,,Yes,,St Louis Missouri US,,,,1966
Hugh Dillon,1963-05-31,M,1.765,,41.0,4.09541330982055,Male,,,,Kingston,1963-05-31,,,1987
"Antonio Sabàto, Jr.",1972-02-29,M,1.85,Italian Americans,26.0,4.095157609906551,Male,,,,Rome Italy,1972-02-29,,3,1990
Solomon Burke,1940-03-21,M,1.85,,46.0,4.09479576396378,Male,,,,Philadelphia,1940-03-21,,,1955
Tom O%27Brien,1965-04-12,M,1.82,,21.0,4.09479576396378,,,,,,,,,
Hervé Villechaize,1943-04-23,M,1.168,,39.0,4.094236065933894,Male,,Yes,,Paris France,1943-04-23,,,1966
Jack Jones,1938-01-14,M,1.85,,44.0,4.094236065933894,,,,,,,,,
Chuck Connors,1921-04-10,M,1.97,,61.0,4.094236065933894,Male,,,Basketball,Brooklyn New York City US,1921-04-10,,4,1952
Jason Kidd,1973-03-23,M,1.93,Irish Americans,29.0,4.094182643108481,,college basketball,,Basketball,San Francisco California,1973-03-23,,,
Vince Carter,1977-01-26,M,1.98,,25.0,4.094182643108481,Male,college basketball,,Football,Daytona Beach Florida,1977-01-26,,,
Allen Iverson,1975-06-07,M,1.83,African Americans,27.0,4.094182643108481,,,,Football,Hampton Virginia,1975-06-07,,,
Steve Francis,1977-02-21,M,1.9,African Americans,25.0,4.094182643108481,Male,,,Basketball,Takoma Park Maryland,1977-02-21,,,
James Mason,1909-05-15,M,1.81,,72.0,4.093984734144696,Male,Peterhouse Cambridge,Yes,,Huddersfield West Riding of Yorkshire England,1909-05-15,,,1931
Wes Craven,1939-08-02,M,1.88,,62.0,4.093264178557084,Male,Wheaton CollegeJohns Hopkins University,Yes,,Cleveland Ohio US,1939-08-02,,2,1968
Steve Bacic,1965-03-13,M,1.854,Croatian Canadians,35.0,4.093163320943315,Male,,,,Lisičić SR Croatia Yugoslavia,,,,1991
Carmine Giovinazzo,1973-08-24,M,1.74,,26.0,4.092677692454096,Male,,,Baseball,New York City US,1973-08-24,,,1996
Gillian Jacobs,1982-10-20,F,1.63,,25.0,4.092459408119713,Female,Juilliard School BFA,Yes,Dance,Pittsburgh Pennsylvania US,1982-10-19,,,2005
Julianne Nicholson,1971-07-01,F,1.75,,27.0,4.09225870833819,Female,,,,Medford Massachusetts United States,1971-07-01,,2,1997
Carey Lowell,1961-02-11,F,1.78,,25.0,4.091866642475095,Female,University of Colorado at BoulderNew York University,Yes,,Huntington New York US,1961-02-11,,2,1986
Lars Rudolph,1966-08-18,M,1.72,,36.0,4.091828205453596,Male,,,,Wittmund West Germany,1966-08-18,,,1984
Faith Hill,1967-09-21,F,1.77,,36.0,4.091753273347161,Female,Academy of Country Music Awards,,Dance,Ridgeland Mississippi,1967-09-21,,,1993
Don Cherry,1934-02-05,M,1.8,,72.0,4.091696495882803,,,,Baseball,Kingston Ontario,1934-02-05,,,
Chris Edgerly,1969-08-06,M,1.83,,36.0,4.091696495882803,Male,,,,,,,,1995
Colin Hay,1953-06-29,M,1.93,Scottish Australians,52.0,4.091696495882803,Male,,,Dance,Saltcoats,1953-06-29,,,1978
Gilda Radner,1946-06-28,F,1.68,Jewish people,38.0,4.090711951181683,Female,University of Michigan,,,Detroit Michigan US,1946-06-28,,,1972
Conan O%27Brien,1963-04-18,M,1.93,Irish Americans,42.0,4.089673308175852,Male,Harvard University AB,,,Brookline Massachusetts,1963-04-18,,2,1983
Mo Rocca,1969-01-28,M,1.83,,36.0,4.089673308175852,Male,Harvard University BA,Yes,,Washington DC US,1969-01-28,,,1995
Nick Lachey,1973-11-09,M,1.753,,31.0,4.089673308175852,Male,,,Track,Harlan Kentucky US,1973-11-09,,3,1995
Ed McMahon,1923-03-06,M,1.9,White Americans,82.0,4.089673308175852,Male,Catholic University of America BA,,,Detroit Michigan US,1923-03-06,,5,1957
Jean-Paul Belmondo,1933-04-09,M,1.79,,70.0,4.089664218897061,Male,Conservatoire of Dramatic Arts,,Soccer,NeuillysurSeine France,1933-04-09,,4,1953
Jerry Minor,1969-10-04,M,1.8,African Americans,35.0,4.089254506593584,Male,,,,Memphis Tennessee US,,,,1990
Jill Wagner,1979-01-13,F,1.727,,26.0,4.089254506593584,Female,North Carolina State University,,,WinstonSalem North Carolina US,1979-01-13,,2,2003
Chris Makepeace,1964-04-22,M,1.75,,20.0,4.088944460849228,Male,,,,Montreal Quebec Canada,1964-04-22,,,1974
Johnny Hallyday,1943-06-15,M,1.85,,65.0,4.088779811227793,Male,,Yes,Track,Paris France,1943-06-15,,4,1955
Eric Bruno Borgman,1970-06-23,M,1.63,European Americans,38.0,4.088779811227793,,,,,,,,,
Jason David Frank,1973-09-04,M,1.8,Indigenous peoples of the Americas,23.0,4.088615501859732,Male,,,,Covina California,1973-09-04,,4,2010
Dave Coulier,1959-09-21,M,1.8,,22.0,4.088448710715571,Male,University of Michigan,Yes,,Detroit Michigan US,1959-09-21,,1,1979
Alan Thicke,1947-03-01,M,1.854,,57.0,4.088446258509701,Male,University of Western Ontario,,,Kirkland Lake Ontario Canada,1947-03-01,,3,1969
John Bourgeois,,M,1.87,,,4.088040405075948,Male,University,,,,,,,
Andrea Veresova,1980-06-28,,1.73,,23.0,4.088040405075948,,,,,Žilina Czechoslovakia now Slovakia,1980-06-28,,2,
Yaani King,1981-08-10,F,1.6,African Americans,22.0,4.088040405075948,Female,,Yes,,New York City US,1981-08-10,,,
Luke Mably,1976-03-01,M,1.82,,28.0,4.088040405075948,Male,,,,,,,,
Lauryn Hill,1975-05-26,F,1.588,African Americans,18.0,4.087800450561879,Female,,,,East Orange New Jersey US,1975-05-26,,6,1988
Eugene Lipinski,1956-11-05,M,1.854,,26.0,4.08778865998136,Male,University of Regina,Yes,,Wansford Camp Soke of Peterborough England,1956-11-05,,,1978
Ralf Moeller,1959-01-12,M,1.97,German Americans,30.0,4.087721806920326,Male,,,,Recklinghausen West Germany,1959-01-12,,,1976
Steve Hytner,1959-09-28,M,1.8,,31.0,4.087654146826279,Male,,,,New York City US,1959-09-28,,,1990
Clayton Rohner,1957-08-05,M,1.727,,28.0,4.087454861185709,Male,Whitman College,,,Palo Alto California US,1957-08-05,,,1981
Julian Sands,1958-01-04,M,1.803,,25.0,4.087368837531885,Male,Royal Central School of Speech and Drama,Yes,,Otley West Riding of Yorkshire England,1958-01-04,,3,1982
Karen Allen,1951-10-05,F,1.7,Scottish Americans,29.0,4.087227285458939,Female,Fashion Institute of TechnologyGeorge Washington UniversityLee Strasberg Theatre Institute,Yes,,Carrollton Illinois US,1951-10-05,,1,1974
Scott Wilson,1942-03-29,M,1.8,,41.0,4.087183970747194,,,,,,,,,
Allie MacDonald,1988-09-17,F,1.65,,24.0,4.0867926767532925,Female,,Yes,,Antigonish Nova Scotia Canada,1988-09-17,,,1998
Joy Tanner,1966-03-07,F,1.62,,46.0,4.0867926767532925,Female,SUNY Potsdam BA HonorsUniversity of Toronto MABritish American Drama Academy,Yes,,Western New York US,,,1,1992
James Thomas,,M,1.83,,,4.0867926767532925,,,,,,,,,
Lance Legault,1935-05-02,M,1.82,,68.0,4.086641857602058,,,,,,,,,
Dennis Weaver,1924-06-04,M,1.88,,79.0,4.086641857602058,Male,,Yes,Track,Joplin Missouri US,1924-06-04,,3,1950
Meredith Salenger,1970-03-14,F,1.6,,18.0,4.086177320971827,Female,Harvard University,,,Malibu California US,1970-03-14,,,1982
Anna Faris,1976-11-29,F,1.65,Scottish Americans,23.0,4.086154003418214,Female,University of Washington BA,,,Baltimore Maryland US,1976-11-29,,1,1985
Anthony Wong,1965-05-12,M,1.67,,37.0,4.08587037885495,,,,,,,,,
Bianca Lawson,1979-03-20,F,1.62,African Americans,19.0,4.085805463570187,Female,University of Southern California,,Dance,Los Angeles California US,1979-03-20,,,1988
Rahul Khanna,1972-06-20,M,1.8,Indians,30.0,4.085620985952597,Male,Lee Strasberg Theatre and Film InstituteSchool of Visual Arts,Yes,,Bombay Maharashtra India,1972-06-20,,,1994
Nicholas Gonzalez,1976-01-03,M,1.7,,28.0,4.085179238927948,Male,Stanford University,Yes,Track,San Antonio Texas US,1976-01-03,,2,1998
Andy Dick,1965-12-21,M,1.784,,25.0,4.084727405729392,Male,,Yes,,Charleston South Carolina,1965-12-21,,3,1986
Clive Russell,1945-12-07,M,1.981,White people,53.0,4.084446524725198,Male,,,,Reeth North Yorkshire England,1945-12-07,,,1960
Terry Funk,1944-06-30,M,1.9,,42.0,4.084389438300301,Male,West Texas State University1,,Football,Hammond Indiana,1944-06-30,,2,
Tahnee Welch,1961-12-26,F,1.68,,23.0,4.08367774490318,Female,,,,San Diego California US,1961-12-26,,,1983
Christine Ebersole,1953-02-21,F,1.778,,31.0,4.083624444366826,Female,"MacMurray College 1975, American Academy of Dramatic Arts",,,Chicago Illinois US,1953-02-21,,3,1972
Tamara Hope,1984-11-02,F,1.63,,16.0,4.083109844456262,Female,,Yes,,Toronto Ontario Canada,1984-11-02,,,1999
Jonathan Pryce,1947-06-01,M,1.88,Welsh people,35.0,4.082922972833514,Male,Royal Academy of Dramatic Art,Yes,,Carmel Flintshire Wales,1947-06-01,,3,1972
Sheila Reid,1937-12-21,F,1.54,Scottish people,47.0,4.082829304140346,Female,,Yes,,Glasgow Scotland 1,1937-12-21,,,1960
Charles Grodin,1935-04-21,M,1.83,Jewish people,49.0,4.082729596430404,Male,,,,Pittsburgh Pennsylvania US,1935-04-21,,2,1954
Kevin Weisman,1970-12-29,M,1.702,Jewish people,35.0,4.082304615725684,Male,UCLA,Yes,,Los Angeles California US,1970-12-29,,2,1988
Nicole Leroux,1975-03-21,F,1.62,,28.0,4.082239540318367,,,,,,,,,
Laura Marano,1995-11-29,F,1.42,,9.0,4.081939224632656,Female,,Yes,,Los Angeles California US,1995-11-29,,,2002
MacKenzie Phillips,1959-11-10,F,1.702,,45.0,4.081939224632656,Female,,,,,1959-11-10,,,
Geraldine Chaplin,1944-07-31,F,1.65,,48.0,4.0812348292553775,Female,Spanish Academy of Cinematographic Arts and Sciences,,Dance,Santa Monica California US,1944-07-31,United StatesUnited KingdomSpain,2,1952
Ashton Kutcher,1978-02-07,M,1.89,Irish Americans,21.0,4.080033846390949,Male,,,,Cedar Rapids Iowa US,1978-02-07,,2,1998
Ilia Kulik,1977-05-23,M,1.8034,,22.0,4.079840780623453,Male,,,,,1977-05-23,,,
Ethan Stiefel,1973,M,1.7,,27.0,4.079840780623453,Male,,,Ballet,Tyrone Pennsylvania United States,1973-02-13,,1,1989
Julie Kent,1969-07-11,F,1.66,,30.0,4.079840780623453,,,,,,,,,
Marilu Henner,1952-04-06,F,1.702,,32.0,4.079387887096816,Female,,,Dance,Chicago Illinois US,1952-04-06,,2,1971
David Lodge,1921-08-19,M,1.82,,78.0,4.079000661806624,,,,,,,,,
Jay R. Ferguson,1974-07-25,M,1.803,,35.0,4.078655018572543,Male,,,,Dallas Texas US,1974-07-25,,3,1990
Gunnar Hansen,1947-03-04,M,1.93,,46.0,4.078519370116909,Male,University of Texas at Austin,Yes,Football,Reykjavík Iceland,1947-03-04,,,1973
Stephi Lineburg,1982-11-16,,1.57,,11.0,4.077958493627452,,,,,,,,,
Camille Coduri,1965-04-18,F,1.613,,25.0,4.077586544173714,Female,,Yes,,Wandsworth London England,1965-04-18,,2,1987
Rudolph Walker,1939-09-28,M,1.48,,51.0,4.077586544173714,Male,,Yes,,San Juan Trinidad and Tobago,1939-09-28,Trinidad and TobagoUnited Kingdom,2,1964
